color,cylinder,finn_code,first_reg,fuel_type,gear,km,model,model_year,power,price,trans
sølv metallic,"1,5 l",137799255,,Diesel,Manuell,164 600 km,Nissan Qashqai,2008,106 Hk,"54 800,-",Forhjulsdrift
Sølv,2 494 l,137798326,28.07.2008,Diesel,Manuell,156 000 km,Toyota HiAce,2008,117 Hk,"119 297,-",Firehjulsdrift
W13 Silky White (P),2 l,137801931,23.11.2016,Elektrisitet+bensin,Automat,32 700 km,Mitsubishi Outlander,2017,202 Hk,"399 000,-",Firehjulsdrift
Blå,"1,6 l",137801205,,Bensin,Automat,77 000 km,Opel Astra,2009,116 Hk,"59 000,-",Forhjulsdrift
Brun,0 l,137801815,13.10.2016,Elektrisitet,Automat,41 000 km,Nissan Leaf,2016,109 Hk,"189 000,-",Forhjulsdrift
Obsidian Black Metallic,0 l,137801845,25.01.2017,Elektrisitet,Automat,43 000 km,Tesla Model X,2017,,"859 000,-",Firehjulsdrift
Rød,0 l,137801715,19.08.2016,Elektrisitet,Automat,30 000 km,Nissan Leaf,2016,109 Hk,"195 000,-",Forhjulsdrift
Hvit,3 l,137801712,31.10.2017,Elektrisitet+bensin,Automat,12 800 km,Mercedes-Benz GLE,2017,422 Hk,"779 000,-",Firehjulsdrift
Grå,"2,4 l",137801699,17.06.2015,Diesel,Automat,77 000 km,Volvo XC 70,2016,163 Hk,"479 900,-",Firehjulsdrift
Brun,2 l,137801577,27.09.2017,Diesel,Automat,30 000 km,Ford Edge,2017,210 Hk,"619 000,-",Firehjulsdrift
Brun,2 l,137801577,27.09.2017,Diesel,Automat,30 000 km,Ford Edge,2017,210 Hk,"619 000,-",Firehjulsdrift
Metallic,0 l,137801568,,Elektrisitet,Automat,24 750 km,Nissan Leaf,2017,110 Hk,"229 900,-",Forhjulsdrift
Sølv,"1,9 l",137796098,15.10.2001,Bensin,Manuell,272 000 km,BMW 3-serie,2001,118 Hk,"21 617,-",Bakhjulsdrift
DYP SORT PERLMET.,2 l,137801551,28.03.2014,Diesel,Automat,73 100 km,Volkswagen Tiguan,2014,140 Hk,"259 000,-",Firehjulsdrift
Svart,0 l,137801519,17.03.2015,Elektrisitet,Automat,71 200 km,Volkswagen Golf,2015,116 Hk,"189 000,-",Forhjulsdrift
Mørk blå,"2,8 l",137801398,11.01.2018,Diesel,Automat,21 733 km,Toyota Land Cruiser,2018,177 Hk,"595 000,-",Firehjulsdrift
Grønn,"6,8 l",122342482,18.12.2001,Bensin,Automat,183 000 km,Ford Excursion,2001,314 Hk,"81 494,-",Firehjulsdrift
Rød,"1,6 l",137801369,18.12.2014,Diesel,Automat,47 050 km,Volvo V60,2015,114 Hk,"255 000,-",Forhjulsdrift
Rød,"1,2 l",137801360,07.10.2014,Bensin,Manuell,73 000 km,Citroen C4 Cactus,2014,82 Hk,"109 000,-",Forhjulsdrift
Hvit,1 l,137801304,30.07.2015,Bensin,Manuell,29 900 km,Peugeot 108,2015,69 Hk,"89 000,-",Forhjulsdrift
svart met,"1,6 l",137801283,02.05.2012,Diesel,Manuell,85 000 km,Hyundai i30,2012,110 Hk,"89 000,-",Forhjulsdrift
Svart,"1,9 l",137801284,11.01.2005,Diesel,Manuell,300 000 km,Volkswagen Transporter,2005,105 Hk,"29 000,-",Forhjulsdrift
Sølv,"2,7 l",137801269,10.12.2014,Bensin,Automat,32 500 km,Porsche Cayman,2014,211 Hk,"649 000,-",Bakhjulsdrift
Krystal hvit Metallic 707,2 l,137801190,26.09.2017,Diesel,Automat,23 060 km,Volvo XC 90,2018,235 Hk,"888 888,-",Firehjulsdrift
Hvit,2 l,137801115,17.03.2011,Diesel,Automat,137 700 km,Volkswagen Tiguan,2011,140 Hk,"169 000,-",Firehjulsdrift
Grå,1 794 l,137796932,30.05.2007,Bensin,Manuell,165 000 km,Toyota Avensis,2007,129 Hk,"41 618,-",Forhjulsdrift
Svart,"1,2 l",137801030,05.04.2017,Bensin,Manuell,36 943 km,Citroen C4 Cactus,2017,110 Hk,"175 000,-",Forhjulsdrift
Pearl White Metallic,"1,8 l",137801005,07.11.2014,Elektrisitet+bensin,Automat,52 410 km,Toyota Auris,2014,136 Hk,"205 000,-",Forhjulsdrift
METALLIC,"1,9 l",137800351,,Diesel,Manuell,236 200 km,Ford Galaxy,2002,116 Hk,"18 618,-",Forhjulsdrift
HAVANNA MET,2 l,137800928,12.07.2012,Diesel,Automat,64 125 km,BMW 3-serie,2012,136 Hk,"209 000,-",Bakhjulsdrift
Svart,"1,7 l",137800973,26.03.2014,Diesel,Manuell,74 900 km,Kia Sportage,2014,116 Hk,"179 000,-",Forhjulsdrift
Grå,"1,4 l",137800909,09.10.2013,Bensin,Manuell,94 000 km,Audi A3,2014,122 Hk,"149 775,-",Forhjulsdrift
Sølv,3 l,135793949,10.07.2003,Diesel,Automat,187 000 km,Toyota Land Cruiser,2003,163 Hk,"160 000,-",Firehjulsdrift
Svart,3 l,137800862,11.03.2011,Diesel,Automat,151 000 km,Toyota Land Cruiser,2011,190 Hk,"464 000,-",Firehjulsdrift
Oransje,"2,3 l",137800875,22.08.2013,Diesel,Automat,78 962 km,Mitsubishi Outlander,2013,150 Hk,"279 000,-",Firehjulsdrift
Phantomsort Perle-effekt,2 998 l,137800595,,Diesel,Automat,145 000 km,Audi A6 allroad,2013,204 Hk,"329 000,-",Quattro
Sophistogrå,2 l,137800881,10.04.2015,Diesel,Automat,46 638 km,BMW X4,2015,190 Hk,"489 000,-",Firehjulsdrift
Svart,1 984 l,137795191,31.10.2010,Bensin,Automat,247 000 km,Audi A4,2011,270 Hk,"173 775,-",Firehjulsdrift
Rød,"2,1 l",137800793,10.09.2010,Diesel,Automat,318 000 km,Mercedes-Benz E-Klasse,2010,170 Hk,"155 000,-",
Hvit,"1,6 l",137800790,28.09.2016,Diesel,Manuell,34 500 km,Mercedes-Benz Vito,2016,114 Hk,"239 000,-",Forhjulsdrift
Grå metallic,2 l,137800721,25.04.2013,Bensin,Automat,55 000 km,Toyota RAV4,2013,151 Hk,"299 000,-",Firehjulsdrift
Blå/ Svart,,137800740,07.05.2018,Elektrisitet,Automat,3 339 km,BMW i3,2018,184 Hk,"2 390,-",Bakhjulsdrift
Refleks Silber Metallic,0 l,137800739,28.10.2014,Elektrisitet,Automat,24 000 km,Volkswagen Golf,2015,116 Hk,"199 000,-",Forhjulsdrift
(FLERFARGET),"1,2 l",137800722,30.09.2013,Bensin,Manuell,54 000 km,Audi A1,2014,86 Hk,"134 900,-",Forhjulsdrift
GRÅBRUN MET.,"2,5 l",137799919,2010,Diesel,Manuell,224 000 km,Toyota HiLux,2010,144 Hk,"149 794,-",Firehjulsdrift
Sølv,,137800197,,Bensin,Manuell,19 000 km,Toyota Aygo,2015,,"79 900,-",Forhjulsdrift
Champagne farget,"1,6 l",137800548,04.06.2012,Diesel,Manuell,98 944 km,Volvo V70,2012,114 Hk,"179 000,-",Forhjulsdrift
Blå,"2,2 l",137107331,22.01.2008,Diesel,Manuell,317 000 km,Peugeot 4007,2008,156 Hk,"55 000,-",Firehjulsdrift
Black Sapphire Metallic (475),3 l,137800492,02.10.2013,Bensin,Automat,96 900 km,BMW 4-serie,2014,306 Hk,"569 000,-",Firehjulsdrift
Obsidian black metallic,2 l,137800360,28.06.2017,Bensin,Automat,23 500 km,Mercedes-Benz C-Klasse,2018,184 Hk,"528 000,-",Firehjulsdrift
Sort metallic,,137794178,22.02.2018,Elektrisitet,Automat,11 000 km,Nissan Leaf,2018,150 Hk,"309 000,-",Forhjulsdrift
Sort metallic,"1,6 l",137800295,,Bensin,Manuell,193 000 km,Toyota Avensis,2004,110 Hk,"39 900,-",Forhjulsdrift
Seashell Metallic 484,"1,6 l",137800301,18.06.2012,Diesel,Automat,89 140 km,Volvo S60,2013,114 Hk,"160 000,-",Forhjulsdrift
Svart,"1,6 l",137800207,09.10.2015,Diesel,Manuell,38 500 km,Kia Cee'd,2015,110 Hk,"159 000,-",Forhjulsdrift
Brun,"2,1 l",137800280,10.12.2014,Diesel,Automat,94 700 km,Mercedes-Benz GLA,2015,136 Hk,"309 000,-",Firehjulsdrift
Sølv,"2,1 l",137800230,31.01.2013,Diesel,Manuell,17 102 km,Mercedes-Benz Sprinter,2013,129 Hk,"189 719,-",Bakhjulsdrift
Sølv,"1,6 l",137800287,17.10.2012,Diesel,Manuell,165 650 km,Volkswagen Touran,2013,105 Hk,"119 000,-",Forhjulsdrift
Sølv,"2,1 l",137794345,05.07.2007,Diesel,Automat,190 000 km,Mercedes-Benz C-Klasse,2007,122 Hk,"49 618,-",Bakhjulsdrift
Polar Weiss Edition-1,4 l,137800273,22.02.2016,Bensin,Automat,38 900 km,Mercedes-Benz C-Klasse,2016,510 Hk,"869 000,-",Bakhjulsdrift
Sølv,"1,6 l",137800223,30.11.2005,Bensin,Manuell,94 391 km,Ford Focus,2005,101 Hk,"11 594,-",Forhjulsdrift
Sølv,"1,6 l",137800223,30.11.2005,Bensin,Manuell,94 391 km,Ford Focus,2005,101 Hk,"11 594,-",Forhjulsdrift
Svart,"1,6 l",125188168,11.05.2004,Bensin,Manuell,89 900 km,Kia Carens,2004,105 Hk,"14 999,-",Forhjulsdrift
Grå,"1,6 l",137800124,05.10.2015,Diesel,Manuell,37 500 km,Kia Cee'd,2015,110 Hk,"159 000,-",Forhjulsdrift
Svart,"2,4 l",137799371,,Diesel,Automat,63 120 km,Volvo XC 70,2010,163 Hk,"279 900,-",Firehjulsdrift
Svart,2 l,131460944,31.01.2010,Diesel,Automat,129 000 km,BMW 1-serie,2010,136 Hk,"108 719,-",Bakhjulsdrift
Sølv,"1,8 l",137800100,08.03.2012,Diesel,Manuell,93 326 km,Mitsubishi ASX,2011,116 Hk,"149 000,-",Firehjulsdrift
Grå,"1,8 l",137800070,13.05.2014,Elektrisitet+bensin,Automat,80 500 km,Toyota Auris,2014,99 Hk,"149 000,-",Forhjulsdrift
Sølv,"1,6 l",137799975,21.04.2017,Bensin,Automat,37 000 km,Mercedes-Benz CLA,2017,122 Hk,"309 000,-",Forhjulsdrift
Grå,"2,3 l",137796181,01.09.2013,Diesel,Manuell,104 000 km,Mitsubishi Outlander,2013,150 Hk,"199 000,-",Firehjulsdrift
metallick,"1,6 l",137798810,høsten 2010,Diesel,Manuell,129 987 km,Audi A3,2011,105 Hk,"99 775,-",Forhjulsdrift
Beige,"1,9 l",137799894,09.07.2009,Diesel,Manuell,199 999 km,Skoda Octavia,2009,105 Hk,"29 900,-",
Blå,2 l,137799922,14.06.2002,Bensin,Automat,192 000 km,Honda CR-V,2002,150 Hk,"49 000,-",Firehjulsdrift
Grå,"2,5 l",137797345,,Diesel,Manuell,243 435 km,Volkswagen Transporter,2006,131 Hk,"49 618,-",Firehjulsdrift
Svart,3 l,137796192,23.09.2012,Elektrisitet+bensin,Automat,175 000 km,Porsche Cayenne,2011,333 Hk,"425 000,-",Firehjulsdrift
Onyx sort metallic,2 l,137799791,31.03.2016,Diesel,Manuell,38 309 km,Volvo V70,2016,181 Hk,"345 000,-",Forhjulsdrift
Blå,"2,4 l",137799653,08.12.2005,Diesel,Automat,227 982 km,Volvo V70,2006,185 Hk,"36 594,-",Forhjulsdrift
Selenitgrå metallic,2 l,137799622,,Elektrisitet+bensin,Automat,1 000 km,Mercedes-Benz C-Klasse,2018,279 Hk,"499 000,-",Bakhjulsdrift
Grå,2 967 l,131006323,15.01.2014,Diesel,Automat,206 000 km,Audi Q7,2011,245 Hk,"338 719,-",Firehjulsdrift
Valencia Orange metallic,116 l,137799616,18.02.2016,Diesel,Automat,41 000 km,BMW 1-serie,2016,116 Hk,"229 000,-",Bakhjulsdrift
Svart,"1,2 l",137799561,31.10.2014,Bensin,Manuell,31 360 km,Suzuki Swift,2014,94 Hk,"149 000,-",Firehjulsdrift
Rød,"1,6 l",137793431,02.11.2009,Diesel,Manuell,92 500 km,Volkswagen Polo,2010,75 Hk,"69 656,-",Forhjulsdrift
REFLEXSØLV MET.,2 l,137799598,07.09.2017,Diesel,Automat,43 857 km,Volkswagen Crafter,2018,177 Hk,"498 800,-",Forhjulsdrift
Jet Black Metallic,3 l,137799606,13.12.2017,Bensin,Automat,19 900 km,Porsche Cayenne,2018,340 Hk,"1 349 000,-",Firehjulsdrift
Metallic,"1,2 l",137799535,30.10.2015,Bensin,Manuell,32 500 km,Nissan Qashqai,2015,116 Hk,"209 000,-",Forhjulsdrift
Hvit,5 000 l,137799019,,Bensin,Manuell,99 999 km,Ford Mustang,1986,250 Hk,"149 000,-",Bakhjulsdrift
Svart,1 l,137799451,05.04.2017,Bensin,Manuell,47 100 km,Hyundai i30,2017,120 Hk,"189 000,-",Forhjulsdrift
Jet Black Metallic,"2,9 l",137799434,06.07.2017,Elektrisitet+bensin,Automat,13 500 km,Porsche Panamera,2018,462 Hk,"1 429 000,-",Firehjulsdrift
Fluid sort / Blå kontrast (C2W),,137799358,20.10.2017,Elektrisitet,Automat,39 200 km,BMW i3,2017,170 Hk,"298 500,-",Bakhjulsdrift
svart metallic,"3,2 l",137799344,28.10.2016,Diesel,Automat,29 000 km,Ford Ranger,2016,200 Hk,"369 000,-",Firehjulsdrift
Spacegrå Metallic,2 l,137799275,24.09.2010,Diesel,Manuell,92 000 km,BMW X1,2010,136 Hk,"169 999,-",Firehjulsdrift
Blå,"1,4 l",137799270,13.01.2011,Bensin,Automat,85 747 km,Opel Astra,2011,140 Hk,"119 000,-",Forhjulsdrift
Blå,"1,6 l",137799239,22.06.2017,Bensin,Automat,43 289 km,Mercedes-Benz B-Klasse,2018,122 Hk,"309 000,-",Forhjulsdrift
Panther black,"1,6 l",137782524,,Diesel,Manuell,120 500 km,Ford Focus,2011,95 Hk,"99 000,-",Forhjulsdrift
Hvit,"1,9 l",137799191,03.01.2006,Diesel,Manuell,284 500 km,Volkswagen Transporter,2006,105 Hk,"39 000,-",Forhjulsdrift
Bright Red,,137799262,29.10.2015,Bensin,Manuell,66 400 km,Suzuki Swift,2015,90 Hk,"145 000,-",Firehjulsdrift
Night Blue Metallic,3 l,137799259,,Bensin,Automat,20 000 km,Porsche 911,2017,370 Hk,"1 349 000,-",Firehjulsdrift
Grå,"1,4 l",137795015,01.03.2011,Diesel,Manuell,99 650 km,Toyota Yaris,2008,90 Hk,"32 696,-",Forhjulsdrift
Volcano Grey Metallic,"3,6 l",137799164,03.08.2016,Bensin,Automat,29 100 km,Porsche Macan,2017,400 Hk,"1 249 000,-",Firehjulsdrift
Svart,"1,2 l",137799106,05.04.2017,Bensin,Manuell,43 563 km,Citroen C4 Cactus,2017,110 Hk,"179 000,-",Forhjulsdrift
Hvit,3 l,137798934,5/2017,Diesel,Automat,65 845 km,Mercedes-Benz GLS,2017,258 Hk,"779 900,-",Firehjulsdrift
Rød,2 l,137799114,13.12.2012,Diesel,Manuell,68 000 km,Hyundai Santa Fe,2012,150 Hk,"169 900,-",Firehjulsdrift
Hvit,"1,6 l",137799081,29.04.2015,Diesel,Manuell,61 299 km,Mercedes-Benz Vito,2015,114 Hk,"209 900,-",Forhjulsdrift
Hvit,"1,2 l",137799060,05.04.2017,Bensin,Manuell,43 791 km,Citroen C4 Cactus,2017,110 Hk,"179 000,-",Forhjulsdrift
TUNGSTEN SILVER META,2 l,137799063,02.05.2017,Diesel,Automat,38 700 km,Volkswagen Tiguan,2017,150 Hk,"409 000,-",Firehjulsdrift
Agate,3 l,137799021,07.02.2018,Bensin,Automat,17 000 km,Porsche 911,2017,420 Hk,"1 349 000,-",Bakhjulsdrift
Magnetic Grey Metallic,2 l,137798965,29.03.2017,Diesel,Automat,59 416 km,Ford Kuga,2017,150 Hk,"439 900,-",Firehjulsdrift
Blå/Svart,"0,6 l",137799000,25.06.2018,Elektrisitet,Automat,32 km,BMW i3,2018,184 Hk,"299 000,-",Bakhjulsdrift
Sølv,1 798 l,136434062,20.01.2013,Bensin,Automat,72 000 km,Toyota Prius,2013,136 Hk,"170 000,-",Forhjulsdrift
Blå,2 l,137798981,23.12.2009,Diesel,Automat,212 700 km,BMW 5-serie,2010,177 Hk,"129 900,-",Bakhjulsdrift
Svart,2 l,137798979,13.06.2012,Diesel,Automat,102 000 km,BMW 3-serie,2013,163 Hk,"199 900,-",Forhjulsdrift
Svart,2 l,137798979,13.06.2012,Diesel,Automat,102 000 km,BMW 3-serie,2013,163 Hk,"199 900,-",Forhjulsdrift
Atlantic blue metallic lakk,,137792721,07.11.2018,Elektrisitet,Automat,39 km,Volkswagen Golf,2019,136 Hk,"373 000,-",Forhjulsdrift
Bright Silver,2 l,137798903,15.12.2015,Diesel,Manuell,39 936 km,Volvo V40,2016,120 Hk,"234 900,-",Forhjulsdrift
Svart,2 l,130743004,26.12.2006,Bensin,Manuell,122 102 km,Toyota MR2,1992,156 Hk,"51 594,-",Bakhjulsdrift
Sort Safir metallic (475),2 l,137798869,31.08.2018,Elektrisitet+bensin,Automat,64 km,BMW 3-serie,2019,252 Hk,"495 000,-",Bakhjulsdrift
Sølv,2 l,137795089,01.10.2002,Bensin,Manuell,246 000 km,Ford Mondeo,2002,145 Hk,"9 618,-",Forhjulsdrift
Granite Grey met .,998 l,137795968,20.12.2007,Bensin,Manuell,96 388 km,Toyota Yaris,2008,70 Hk,"42 696,-",Forhjulsdrift
Sølv,"1,6 l",137798867,23.02.2017,Bensin,Automat,8 600 km,Mercedes-Benz B-Klasse,2017,122 Hk,"299 000,-",Forhjulsdrift
Mahogany Metallic,3 l,137798819,11.12.2015,Diesel,Automat,43 000 km,Porsche Macan,2016,211 Hk,"679 000,-",Firehjulsdrift
REFLEXSØLV MET.,2 l,137798813,30.07.2015,Diesel,Automat,44 160 km,Volkswagen Transporter,2015,179 Hk,"299 000,-",Firehjulsdrift
IS Hvit,"2,4 l",137798730,09.05.2014,Diesel,Automat,116 150 km,Volvo XC 70,2014,181 Hk,"379 900,-",Firehjulsdrift
Sort,3 l,137798662,09.08.2013,Diesel,Automat,95 600 km,Porsche Cayenne,2014,245 Hk,"619 000,-",Firehjulsdrift
Brilliantblå,"2,6 l",129408691,14.07.1994,Bensin,Manuell,179 578 km,Audi 80,1994,150 Hk,"26 594,-",Forhjulsdrift
Grønn,"2,5 l",137794167,13.08.2002,Diesel,Manuell,272 000 km,Nissan King Cab,2002,133 Hk,"19 275,-",Firehjulsdrift
Oyster Grå,2 l,137798630,16.02.2012,Diesel,Automat,183 500 km,Volvo V70,2012,163 Hk,"179 000,-",Forhjulsdrift
Svart,,137796248,25.04.2006,Diesel,Automat,170 500 km,Audi Q7,2007,233 Hk,"279 618,-",Quattro
Sølv,1 l,137793417,01.01.2001,Bensin,Manuell,236 000 km,Toyota Yaris,2001,68 Hk,"6 618,-",Forhjulsdrift
Sølv,"1,6 l",137798555,30.09.2013,Bensin,Manuell,66 000 km,Suzuki SX4 S-Cross,2013,120 Hk,"189 000,-",Firehjulsdrift
Polarsølv Metallic,"1,6 l",137798602,22.09.2017,Bensin,Automat,7 500 km,Mercedes-Benz A-Klasse,2018,122 Hk,"299 000,-",Forhjulsdrift
Rød,"1,3 l",137794010,07.03.2002,Bensin,Manuell,184 000 km,Toyota Yaris Verso,2002,86 Hk,"12 594,-",Forhjulsdrift
Blå,2 495 l,131686762,06.10.2005,Diesel,Manuell,175 000 km,Land Rover Defender,2005,122 Hk,"196 594,-",Firehjulsdrift
Dark Blue Metallic,3 l,137798617,26.07.2012,Diesel,Automat,79 800 km,Porsche Cayenne,2012,211 Hk,"569 000,-",Firehjulsdrift
Beige,"2,1 l",137798521,08.09.2011,Diesel,Automat,94 000 km,Mercedes-Benz E-Klasse,2011,136 Hk,"189 000,-",Bakhjulsdrift
Artic Silver Metallic,"3,6 l",137798541,13.08.2001,Bensin,Automat,65 600 km,Porsche 911,2001,420 Hk,"629 000,-",Firehjulsdrift
Hvit,3 l,137798524,23.11.2016,Bensin,Automat,18 600 km,Porsche 911,2017,420 Hk,"1 548 000,-",Firehjulsdrift
Cappuchino beige metallic,"1,6 l",137798535,03.10.2012,Diesel,Manuell,145 418 km,Skoda Octavia,2013,105 Hk,"183 000,-",Firehjulsdrift
metallic,2 l,137565034,,Diesel,Automat,280 000 km,Ford Mondeo,2009,140 Hk,"44 000,-",Forhjulsdrift
Rød,1 796 l,137798465,,Bensin,Manuell,191 466 km,Land Rover Freelander,2003,117 Hk,"8 618,-",Firehjulsdrift
Hvit,"1,5 l",137798377,02.01.2018,Elektrisitet+bensin,Automat,17 300 km,Toyota Yaris,2018,73 Hk,"199 000,-",Forhjulsdrift
Mythossort metallic,3 l,137798425,18.08.2015,Diesel,Automat,59 089 km,Audi A6 allroad,2016,211 Hk,"549 000,-",Firehjulsdrift
Rød,1 396 l,137793988,24.11.1997,Bensin,Manuell,236 000 km,Honda Civic,1997,90 Hk,"16 118,-",Forhjulsdrift
DYP SORT PERLMET.,2 l,137798280,09.12.2013,Diesel,Manuell,52 060 km,Volkswagen Tiguan,2014,110 Hk,"199 000,-",Forhjulsdrift
Hvit,2 l,137798356,26.02.2010,Diesel,Manuell,135 000 km,Volkswagen Transporter,2010,102 Hk,"109 900,-",Forhjulsdrift
Hvit,,137798310,30.08.2016,Diesel,Automat,59 000 km,BMW X5,2017,258 Hk,"844 900,-",Firehjulsdrift
Speed Yellow,"3,6 l",137798251,04.11.1999,Bensin,Manuell,67 800 km,Porsche 911,2000,360 Hk,"779 000,-",Bakhjulsdrift
Indium Grey,,137798160,01.10.2018,Elektrisitet,Automat,10 km,Volkswagen Golf,2019,136 Hk,"349 000,-",Forhjulsdrift
Blå,2 l,135557063,05.07.2009,Diesel,Manuell,241 763 km,Volkswagen Tiguan,2010,140 Hk,"82 719,-",Firehjulsdrift
Black Sapphire-metallic,2 l,94743435,09.08.2011,Diesel,Automat,176 494 km,BMW 3-serie,2010,184 Hk,"123 660,-",Bakhjulsdrift
Light White (B15),"1,5 l",137798059,19.10.2018,Elektrisitet+bensin,Automat,790 km,MINI Countryman,2019,224 Hk,"397 800,-",Firehjulsdrift
Sølv,,137798045,28.03.2018,Elektrisitet,Automat,13 691 km,Nissan Leaf,2018,122 Hk,"299 900,-",Forhjulsdrift
Grå,"1,6 l",137731727,28.01.2010,Diesel,Manuell,98 000 km,Peugeot 308,2010,90 Hk,"48 719,-",Forhjulsdrift
Grå,"1,8 l",137792539,09.02.2014,Elektrisitet+bensin,Automat,52 350 km,Toyota Auris,2014,136 Hk,"168 775,-",Forhjulsdrift
Santorini Black metallic,2 l,137797913,,Diesel,Automat,100 km,Jaguar F-PACE,2019,180 Hk,"4 995,-",Firehjulsdrift
Hvit,"1,2 l",134423348,07.08.2016,Diesel,Automat,11 000 km,Peugeot Bipper,2016,75 Hk,"89 900,-",Forhjulsdrift
Race red,,137797934,09.04.2013,Bensin,Manuell,82 000 km,Ford Fiesta,2013,65 Hk,"89 000,-",Forhjulsdrift
Dyp Sort,2 l,137797855,20.11.2014,Diesel,Manuell,160 662 km,Volkswagen Transporter,2015,140 Hk,"165 000,-",Firehjulsdrift
Svart,"2,2 l",137797841,30.11.2006,Diesel,Automat,191 000 km,Hyundai Santa Fe,2007,155 Hk,"89 900,-",Firehjulsdrift
Denim Blue met 723,2 l,137797835,,Bensin,Automat,1 500 km,Volvo V40 Cross Country,2018,152 Hk,"389 000,-",Forhjulsdrift
TUNGSTEN SILVER META,,137797753,11.07.2014,Elektrisitet,Automat,51 478 km,Volkswagen Golf,2015,116 Hk,"189 000,-",Forhjulsdrift
Svart,0 l,137797690,,Elektrisitet,Automat,5 km,Volkswagen Golf,2019,136 Hk,"3 799,-",Forhjulsdrift
Svart,"1,6 l",137797699,24.11.2010,Diesel,Manuell,93 762 km,Citroen Berlingo,2010,90 Hk,"89 000,-",Forhjulsdrift
Sølv,"2,5 l",137795221,,Diesel,Automat,146 000 km,Volkswagen Caravelle,2004,131 Hk,"155 000,-",Forhjulsdrift
Panther Black Metallic,2 l,137797673,18.08.2015,Diesel,Automat,121 684 km,Ford Mondeo,2015,179 Hk,"279 000,-",Forhjulsdrift
DYP SORT PERLMET.,"1,2 l",137797613,22.12.2014,Bensin,Automat,96 397 km,Volkswagen Golf,2015,105 Hk,"159 900,-",Forhjulsdrift
Svart,"1,6 l",134475768,14.04.2014,Bensin,Automat,64 000 km,Nissan Juke,2014,117 Hk,"145 000,-",Forhjulsdrift
DYP SORT PERL.,2 l,137797494,26.04.2017,Diesel,Automat,26 800 km,Volkswagen Transporter,2017,204 Hk,"449 000,-",Firehjulsdrift
metallic,"1,6 l",97455730,26.02.2013,Diesel,Manuell,166 000 km,Volkswagen Touran,2013,105 Hk,"76 255,-",Forhjulsdrift
Hvit,"2,5 l",137797508,20.12.2012,Diesel,Automat,94 590 km,Isuzu D-max,2012,163 Hk,"219 000,-",Firehjulsdrift
TUNGSTEN SILVER META,2 l,137797426,07.01.2016,Diesel,Automat,35 683 km,Volkswagen Passat,2016,150 Hk,"355 000,-",Forhjulsdrift
Jupiterrød,"1,6 l",137797487,24.01.2017,Bensin,Automat,30 100 km,Mercedes-Benz A-Klasse,2017,122 Hk,"269 000,-",Forhjulsdrift
Sterling Silver,,137796585,10.01.2019,Elektrisitet+bensin,Automat,3 km,Mitsubishi Outlander,2019,,"409 000,-",Firehjulsdrift
Rich Java Metallic 712,2 l,137797328,31.03.2016,Diesel,Automat,73 102 km,Volvo V60 Cross Country,2016,150 Hk,"359 000,-",Forhjulsdrift
Grå,"2,2 l",137797268,31.03.2009,Diesel,Manuell,164 980 km,Toyota RAV4,2009,136 Hk,"109 900,-",Firehjulsdrift
Svart,2 l,129934257,04.07.2011,Diesel,Manuell,161 000 km,BMW 1-serie,2008,143 Hk,"83 719,-",Bakhjulsdrift
Krystal hvit Metallic 707,2 l,137797224,30.06.2017,Diesel,Automat,24 815 km,Volvo V90,2017,150 Hk,"560 000,-",Firehjulsdrift
Svart,,137797147,02.10.2018,Elektrisitet,Automat,10 km,Nissan Leaf,2018,150 Hk,"329 000,-",Forhjulsdrift
Frozen white,"1,6 l",129450262,23.06.2013,Bensin,Manuell,96 000 km,Ford Fiesta,2013,182 Hk,"154 656,-",Forhjulsdrift
Svart,"1,6 l",137797220,31.05.2018,Bensin,Automat,5 600 km,Mercedes-Benz B-Klasse,2018,122 Hk,"339 000,-",Forhjulsdrift
Biege,"1,2 l",137797071,06.08.2014,Bensin,Manuell,66 069 km,Skoda Rapid,2014,86 Hk,"125 000,-",Forhjulsdrift
Titansølv Metallic,3 l,137797121,08.12.2011,Diesel,Automat,122 000 km,BMW 5-serie,2012,258 Hk,"399 000,-",Firehjulsdrift
Hvit,"2,1 l",137796976,15.08.2017,Diesel,Automat,34 500 km,Mercedes-Benz Sprinter,2017,163 Hk,"449 000,-",Bakhjulsdrift
Red mica,"1,8 l",137797039,09.08.2017,Elektrisitet+bensin,Automat,7 172 km,Toyota Auris,2017,136 Hk,"249 900,-",Forhjulsdrift
Grå,2 l,137797032,25.03.2013,Diesel,Automat,63 000 km,BMW 1-serie,2013,116 Hk,"169 000,-",Bakhjulsdrift
Grå,1 796 l,137793001,19.08.2003,Bensin,Manuell,215 000 km,BMW 3-serie,2003,116 Hk,"21 618,-",Bakhjulsdrift
Hvit,3 l,137756038,01.05.2014,Diesel,Automat,60 000 km,Porsche Macan,2014,211 Hk,"649 000,-",Firehjulsdrift
Sølv,1 398 l,137791844,06.04.2003,Bensin,Manuell,201 880 km,Toyota Corolla,2003,97 Hk,"24 618,-",Forhjulsdrift
Sort,"1,2 l",137796686,14.07.2011,Bensin,Manuell,59 500 km,Suzuki Swift,2011,94 Hk,"99 000,-",Firehjulsdrift
Grå,2 696 l,128852103,22.02.2007,Diesel,Automat,225 000 km,Ssangyong Rexton,2007,165 Hk,"79 275,-",Firehjulsdrift
